SCHOOL NAME,CODE,ENTRY,ENGLISH,KISWAHILI,K. S. L.,MATHS,SCIENCE,SSTR,MEAN,RANK,NATIONAL,DISTRICT_NAME,School code,county code,county name
AINAMOI,560208,15.0,40.93,33.4,0.0,56.0,54.53,62.0,246.86,176,10350,TRANS MARA EAST,28512120,28,KERICHO
AINAMOI,560208,15.0,40.93,33.4,0.0,56.0,54.53,62.0,246.86,176,10350,TRANS MARA EAST,32560208,32,NAROK
AINAMOI,565411,78.0,40.21,36.25,0.0,45.15,41.61,41.16,204.38,647,19047,KURESOI,27565411,27,NAKURU
AINAMOI,565411,78.0,40.21,36.25,0.0,45.15,41.61,41.16,204.38,647,19047,KURESOI,28512120,28,KERICHO
AINAMOI,565411,78.0,40.21,36.25,0.0,45.15,41.61,41.16,204.38,647,19047,KURESOI,32560208,32,NAROK
AINAMOI NGETUK,512169,26.0,54.57,42.38,0.0,61.3,60.46,64.46,283.17,96,3872,KERICHO,28512169,28,KERICHO
AINAPKOI,553128,33.0,51.12,42.6,0.0,45.42,49.21,50.93,239.28,235,12143,BELGUT,28553128,28,KERICHO
AINAPMOI,544107,44.0,45.13,39.84,0.0,40.95,42.29,41.9,210.11,230,18194,LAIKIPIA WEST,30544107,30,LAIKIPIA
AINAPNGETUNY,542104,24.0,47.83,44.2,0.0,56.79,60.83,50.08,259.73,317,7487,TINDERET,29542104,29,NANDI
AINASOSOIT,512174,33.0,51.06,36.72,0.0,49.24,54.6,45.96,237.58,248,12562,KERICHO,,,
AINSWORTH,401038,151.0,48.39,45.15,0.0,44.03,52.15,55.01,244.73,460,10865,Nairobi,20403011,20,NAIROBI
AIPC KABIRU ACAD.,318346,23.0,50.47,52.43,0.0,48.82,52.3,46.78,250.8,291,9431,MERU CENTRAL,15318346,15,MERU
AIPCA ACADEMY,106148,20.0,61.45,61.85,0.0,50.2,53.2,56.3,283.0,117,3890,MOMBASA,3106148,3,MOMBASA
AIPCA RIAKIANIA,223122,24.0,46.54,46.7,0.0,37.66,39.79,38.0,208.69,284,18419,KIRINYAGA WEST,9223122,9,KIRINYAGA
AIPCA RUGUSU,318345,19.0,55.0,55.0,0.0,61.1,59.05,57.63,287.78,130,3428,MERU CENTRAL,15318345,15,MERU
AIPCA ST. MATHEW,334139,14.0,55.92,63.92,0.0,60.21,54.42,58.35,292.82,113,3000,BUURI,15334139,15,MERU
AIRPORT,107158,57.0,50.89,56.64,0.0,43.45,46.4,47.92,245.3,170,10721,MALINDI,4107158,4,KILIFI
AIRPORT VIEW ACADEMY,106420,15.0,58.33,51.93,0.0,48.93,64.4,77.86,301.45,88,2382,MOMBASA,3106420,3,MOMBASA
AIRSTRIP,210115,46.0,46.69,46.54,0.0,49.04,47.17,48.08,237.52,277,12576,KIENI EAST,8210115,8,NYERI
AIRWAYS ACAD,401731,20.0,55.5,52.3,0.0,49.3,49.5,44.25,250.85,416,9423,Nairobi,,,
AISAIK,508101,52.0,38.53,36.03,0.0,40.63,38.4,36.25,189.84,529,20504,BOMET,25508101,25,BOMET
AITONG,546102,36.0,50.38,49.61,0.0,57.58,60.66,60.11,278.34,67,4425,NAROK SOUTH,32546102,32,NAROK
AIYEBO,547109,38.0,41.44,39.18,0.0,50.76,50.39,47.65,229.42,428,14519,BARINGO NORTH,33547109,33,BARINGO
AJAWA PRIMARY,807202,20.0,50.7,46.05,0.0,47.2,57.7,64.2,265.85,23,6304,WAJIR NORTH,46807202,46,WAJIR
AJIGO,712135,24.0,53.7,37.62,0.0,57.5,57.62,49.45,255.89,228,8291,BONDO,41731402,41,HOMA BAY
AJIGO,712135,24.0,53.7,37.62,0.0,57.5,57.62,49.45,255.89,228,8291,BONDO,42712135,42,SIAYA
AJIGO,731402,19.0,53.57,36.78,0.0,58.21,58.05,57.26,263.87,212,6656,RACHUONYO NORTH,41731402,41,HOMA BAY
AJIGO,731402,19.0,53.57,36.78,0.0,58.21,58.05,57.26,263.87,212,6656,RACHUONYO NORTH,42712135,42,SIAYA
