SCHOOL NAME,CODE,ENTRY,ENGLISH,KISWAHILI,K. S. L.,MATHS,SCIENCE,SSTR,MEAN,RANK,NATIONAL,DISTRICT_NAME,School code,county code,county name
,320102,33,47.81,52.0,0.0,50.0,47.45,52.3,249.56,40,10047,CHALBI,,,
,502222,19,51.94,51.52,0.0,44.21,55.47,53.84,256.98,35,8396,SAMBURU,,,
*KOCHIENGE,704131,11,46.72,41.09,0.0,55.72,53.54,49.0,246.07,378,10775,HOMA BAY,,,
A B C ACADEMY,301169,37,66.13,59.05,0.0,58.59,51.37,57.72,292.86,96,2950,Machakos,12301169,12,MACHAKOS
A B C HASSAN,708155,23,54.13,54.21,0.0,46.78,49.39,49.52,254.03,211,9034,KURIA WEST,,,
A B C MITABONI ACADEMY,329176,21,70.42,65.33,0.0,65.04,58.61,58.85,318.25,40,1450,KATHIANI,12329176,12,MACHAKOS
A C C&S PRIVATE,801120,22,64.04,61.22,0.0,58.63,64.09,68.54,316.52,10,1523,GARISSA,45801120,45,GARISSA
A C K  NDUMARI,333112,29,44.31,43.37,0.0,37.58,41.65,44.79,211.7,345,17524,EMBU EAST,,,
A C K BISHOP MUGE PREP,534255,11,51.81,56.0,0.0,59.63,63.72,62.72,293.88,120,2880,ELDORET EAST,,,
A C K EMMANUEL KABIMOI,521315,20,66.5,63.15,0.0,60.3,62.1,59.7,311.75,18,1771,KOIBATEK,33521315,33,BARINGO
A C K KAGUMORI,303313,57,45.01,50.94,0.0,47.59,46.4,45.71,235.65,235,12987,EMBU WEST,14355205,14,EMBU
A C K KANJA,333102,60,52.66,46.4,0.0,44.13,46.63,47.93,237.75,226,12544,EMBU EAST,14333102,14,EMBU
A C K KAPKORIO,534208,16,53.0,54.75,0.0,56.25,57.06,51.43,272.49,222,5449,ELDORET EAST,26534208,26,UASIN GISHU
A C K KATHEMBONI,323232,21,41.57,52.95,0.0,44.0,57.61,52.47,248.6,623,10263,MBOONI WEST,18323232,18,MAKUENI
A C K KIBOBOI,523124,28,47.21,56.92,0.0,53.32,53.6,53.5,264.55,311,6878,NANDI SOUTH,29523124,29,NANDI
A C K KIRIGI,303318,50,44.56,45.32,0.0,38.94,41.64,43.52,213.98,337,17168,EMBU WEST,,,
A C K KOLONG,513130,19,38.52,45.73,0.0,48.73,52.63,49.94,235.55,523,13013,NANDI CENTRAL,29513130,29,NANDI
A C K NGOMOLA,341424,11,43.09,43.72,0.0,41.63,48.81,43.09,220.34,307,16080,MBEERE SOUTH,14341424,14,EMBU
A C K REI,327141,19,50.94,56.84,0.0,56.1,58.1,59.73,281.71,137,4101,TIGANIA WEST,15327141,15,MERU
A C K RIAKANAU,341417,15,46.46,54.46,0.0,43.8,50.53,48.6,243.85,200,11251,MBEERE SOUTH,14341417,14,EMBU
A C K RIKANA,318237,15,33.2,33.6,0.0,36.93,29.06,29.8,162.59,737,21131,MERU CENTRAL,15318237,15,MERU
A C TEGAT,513108,41,53.31,55.12,0.0,47.02,50.97,50.75,257.17,371,8347,NANDI CENTRAL,29513108,29,NANDI
A E F REUBEN,401205,115,51.25,46.05,0.0,46.24,45.93,45.98,235.45,462,13033,Nairobi,20408017,20,NAIROBI
A G C SOSIOT ACADEMY,553123,20,72.05,65.75,0.0,73.1,69.85,70.05,350.8,13,363,BELGUT,28553123,28,KERICHO
A I C GRACE ACADEMY,703150,21,72.76,63.8,0.0,67.52,65.19,63.9,333.17,22,860,KISII CENTRAL,40703150,40,KISII
A I C KAITHE,334238,23,28.0,32.34,0.0,33.13,30.6,25.78,149.85,764,21314,BUURI,15334238,15,MERU
A I C KAPKOIBAI,513153,10,51.2,50.8,0.0,61.5,64.3,62.9,290.7,132,3157,NANDI CENTRAL,29513153,29,NANDI
A I C KATHIANI,341425,16,49.56,54.06,0.0,51.37,54.31,47.81,257.11,148,8362,MBEERE SOUTH,14341425,14,EMBU
A I C KATHYOLI,314292,13,49.76,55.84,0.0,55.46,52.38,49.15,262.59,282,7250,MWALA,12314292,12,MACHAKOS
A I C KIMUUNI,314291,12,55.58,56.16,0.0,50.25,57.5,48.75,268.24,232,6174,MWALA,12314291,12,MACHAKOS
A I C KYANDA,314176,9,48.11,48.88,0.0,47.55,48.44,57.0,249.98,416,9945,MWALA,12314176,12,MACHAKOS
A I C LOKICHOGIO GIRLS,549202,7,49.71,53.71,0.0,44.57,41.14,42.85,231.98,121,13783,TURKANA WEST,21549202,21,TURKANA
A I C LOPUR,549107,32,49.68,52.81,0.0,54.75,52.65,60.21,270.1,46,5832,TURKANA WEST,21549107,21,TURKANA
A I C MOI'S BRIDGE,509151,39,60.82,64.25,0.0,56.69,56.23,57.69,295.68,110,2743,ELDORET WEST,26509151,26,UASIN GISHU
